Sr.no,Channel Name,Videos Count,Subscribers Count,Total Views Count,Next 2 Months Views
57,TechLinked,"1,048",1900000,"54,53,44,014","55,77,62,317"
58,The Verge,4935,3390000,"1,05,00,71,548","1,05,50,00,222"
59,Engadget,"6,400",1410000,"48,81,00,580","49,02,62,877"
60,Austin Evans,2714,5580000,"1,49,12,73,953","1,51,73,67,870"
61,iJustine,"2,561",7100000,"1,46,66,88,121","1,46,98,18,493"
62,Physics Girl,269,3310000,"44,84,67,168","47,12,92,487"
63,The Economist,740,3390000,"34,79,47,182","35,23,94,334"
64,CinemaSins,"1,498",9180000,"3,92,82,29,374","3,95,08,36,096"
65,Screen Junkies,"1,433",6780000,"2,98,47,63,363","2,99,78,09,994"
66,Looper,"8,598",5720000,"4,17,05,01,616","4,19,93,00,803"
67,PewDiePie,"4,793",111000000,"29,41,28,48,432","29,46,89,46,899"
68,Jacksepticeye,"5,213",30800000,"16,91,96,30,055","16,98,94,99,437"
69,Ninja,"2,126",23800000,"2,70,02,82,719","2,71,56,02,953"
71,GameGrumps,"9,107",5430000,"6,97,29,45,602","7,02,26,89,439"
72,IGN,"1,65,717",18500000,"18,26,04,51,987","18,57,15,82,000"
73,TheRadBrad,"8,671",13700000,"6,34,98,69,032","6,38,76,70,784"
74,Philip DeFranco,331,1140000,"4,66,70,121","5,97,45,169"
75,Zoella,352,10600000,"1,10,51,45,582","1,12,25,35,758"
76,NikkieTutorials,902,14600000,"2,04,00,35,422","2,06,40,15,175"
77,Safiya Nygaard,216,10100000,"2,02,08,63,148","2,04,37,17,770"
78,LaurDIY,461,8240000,"45,41,30,564","45,57,95,448"
79,Emma Chamberlain,297,12000000,"1,66,07,02,303","1,66,87,13,328"
80,Casey Neistat,"1,113",12600000,"3,20,61,26,350","3,21,08,00,811"
81,Shane Dawson,30,7710000,"26,79,00,760","32,10,08,110"
82,BBC News,"23,187",16800000,"5,60,40,04,717","5,73,55,00,687"
84,Vice,"4,169",18600000,"5,19,62,33,220","5,26,84,79,676"
85,Al Jazeera English,"1,19,108",14700000,"4,98,56,72,549","5,18,43,88,481"
86,The Guardian,"7,250",2290000,"72,97,61,411","74,14,89,986"
87,The New York Times,"10,261",4560000,"1,51,24,43,963","1,52,48,76,784"
88,Business Insider,"6,653",9600000,"5,51,45,66,432","5,67,91,06,136"
89,National Geographic,"10,596",23600000,"6,16,95,42,262","6,25,21,24,143"
90,ColdFusion,510,4900000,"49,48,77,352","50,49,65,745"
91,RealLifeLore,404,7610000,"1,70,75,91,009","1,73,07,48,323"
92,VICE News,"6,560",9110000,"3,29,66,46,904","3,33,39,10,083"
93,Binging with Babish,844,10300000,"2,82,14,90,301","2,85,34,14,906"
94,Johnny Harris,406,5890000,"77,34,44,248","78,87,82,173"
95,Thomas Frank,281,3000000,"18,14,15,702","18,23,61,971"
96,PolyMatter,163,1900000,"22,45,96,209","22,67,35,115"
97,TechGumbo,507,1380000,"25,00,36,638","25,69,75,076"
98,The Coding Train,"1,261",1710000,"12,69,69,241","12,83,71,634"
99,Traversy Media,984,2290000,"21,74,76,796","21,98,32,678"
100,Tech With Tim,"1,060",1600000,"15,33,34,059","15,79,04,059"
